Map,Player,ACS,Agent,Date,Result
Breeze,Spring,231,Yoru,01/08/26,Loss
Breeze,jowa,216,Tejo,01/08/26,Loss
Breeze,autumN,191,Omen,01/08/26,Loss
Breeze,Yosemite,178,Viper,01/08/26,Loss
Breeze,SiuFatBB,41,Sova,01/08/26,Loss
Bind,jowa,327,Brimstone,01/14/2026,Win
Bind,Yosemite,292,Viper,01/14/2026,Win
Bind,autumN,181,Chamber,01/14/2026,Win
Bind,Spring,181,Waylay,01/14/2026,Win
Bind,SiuFatBB,159,Skye,01/14/2026,Win
Bind,Yosemite,366,Viper,01/14/2026,Win
Bind,autumN,228,Chamber,01/14/2026,Win
Bind,jowa,221,Brimstone,01/14/2026,Win
Bind,Spring,198,Waylay,01/14/2026,Win
Bind,SiuFatBB,191,Skye,01/14/2026,Win
Bind,Yosemite,292,Viper,01/14/2026,Win
Bind,autumN,292,Chamber,01/14/2026,Win
Bind,Spring,203,Waylay,01/14/2026,Win
Bind,jowa,195,Brimstone,01/14/2026,Win
Bind,SiuFatBB,155,Skye,01/14/2026,Win
Bind,autumN,223,Chamber,01/14/2026,Loss
Bind,Yosemite,201,Viper,01/14/2026,Loss
Bind,SiuFatBB,198,Skye,01/14/2026,Loss
Bind,Spring,188,Waylay,01/14/2026,Loss
Bind,jowa,151,Brimstone,01/14/2026,Loss
Bind,jowa,295,Brimstone,01/14/2026,Loss
Bind,Spring,191,Waylay,01/14/2026,Loss
Bind,Yosemite,185,Viper,01/14/2026,Loss
Bind,autumN,155,Chamber,01/14/2026,Loss
Bind,SiuFatBB,154,Skye,01/14/2026,Loss
Bind,jowa,208,Brimstone,01/15/2026,Loss
Bind,SiuFatBB,191,Skye,01/15/2026,Loss
Bind,Yosemite,183,Viper,01/15/2026,Loss
Bind,autumN,175,Chamber,01/15/2026,Loss
Bind,Spring,163,Waylay,01/15/2026,Loss
Split,autumN,220,Yoru,01/15/2026,Loss
Split,Yosemite,195,Viper,01/15/2026,Loss
Split,Spring,195,Waylay,01/15/2026,Loss
Split,jowa,194,Omen,01/15/2026,Loss
Split,SiuFatBB,108,Fade,01/15/2026,Loss
Bind,autumN,265,Chamber,01/15/2026,Loss
Bind,Spring,264,Waylay,01/15/2026,Loss
Bind,jowa,233,Brimstone,01/15/2026,Loss
Bind,Yosemite,156,Viper,01/15/2026,Loss
Bind,SiuFatBB,119,Skye,01/15/2026,Loss
Pearl,Yosemite,260,Killjoy,01/16/2026,Draw
Pearl,jowa,183,Tejo,01/16/2026,Draw
Pearl,autumN,178,Astra,01/16/2026,Draw
Pearl,Spring,160,Yoru,01/16/2026,Draw
Pearl,SiuFatBB,144,Fade,01/16/2026,Draw
Haven,Spring,319,Neon,01/16/2026,Win
Haven,autumN,280,Killjoy,01/16/2026,Win
Haven,SiuFatBB,225,Sova,01/16/2026,Win
Haven,Yosemite,212,Viper,01/16/2026,Win
Haven,jowa,157,Omen,01/16/2026,Win
Haven,Yosemite,289,Viper,01/16/2026,Draw
Haven,jowa,260,Omen,01/16/2026,Draw
Haven,Spring,209,Neon,01/16/2026,Draw
Haven,SiuFatBB,180,Sova,01/16/2026,Draw
Haven,autumN,186,Killjoy,01/16/2026,Draw
Haven,jowa,306,Omen,01/16/2026,Win
Haven,autumN,243,Killjoy,01/16/2026,Win
Haven,Yosemite,240,Viper,01/16/2026,Win
Haven,SiuFatBB,176,Sova,01/16/2026,Win
Haven,Spring,167,Neon,01/16/2026,Win
Pearl,Spring,287,Yoru,01/16/2026,Draw
Pearl,SiuFatBB,259,Fade,01/16/2026,Draw
Pearl,Yosemite,185,Killjoy,01/16/2026,Draw
Pearl,autumN,125,Astra,01/16/2026,Draw
Pearl,jowa,93,Tejo,01/16/2026,Draw
Pearl,autumN,242,Astra,01/16/2026,Loss
Pearl,Spring,239,Yoru,01/16/2026,Loss
Pearl,Yosemite,195,Killjoy,01/16/2026,Loss
Pearl,jowa,159,Tejo,01/16/2026,Loss
Pearl,SiuFatBB,141,Fade,01/16/2026,Loss
Split,Spring,245,Waylay,01/17/2026,Loss
Split,autumN,195,Yoru,01/17/2026,Loss
Split,jowa,194,Omen,01/17/2026,Loss
Split,Yosemite,141,Viper,01/17/2026,Loss
Split,SiuFatBB,140,Fade,01/17/2026,Loss
Breeze,autumN,277,Yoru,01/17/2026,Win
Breeze,Yosemite,232,Veto,01/17/2026,Win
Breeze,jowa,220,Astra,01/17/2026,Win
Breeze,Spring,193,Viper,01/17/2026,Win
Breeze,SiuFatBB,127,Sova,01/17/2026,Win
Abyss,Yosemite,286,Astra,01/17/2026,Loss
Abyss,Spring,264,Waylay,01/17/2026,Loss
Abyss,autumN,142,Omen,01/17/2026,Loss
Abyss,jowa,137,Kayo,01/17/2026,Loss
Abyss,SiuFatBB,106,Sova,01/17/2026,Loss
Haven,Yosemite,281,Viper,01/20/2026,Draw
Haven,SiuFatBB,238,Sova,01/20/2026,Draw
Haven,Spring,222,Neon,01/20/2026,Draw
Haven,autumN,165,Killjoy,01/20/2026,Draw
Haven,jowa,108,Omen,01/20/2026,Draw
