Date,Team,Map,Start,First Pistol,First Rounds,First Half WR,Second Pistol,Second Rounds,Second Half WR,Atk_PP_Success,Def_PP_Success,Atk 2nd,Def 2nd,Outcome
03-04-2026,DLT,Bind,Defence,1,9,0.75,0,2,0.17,0.33,0.5,LL,WW,Loss
03-04-2026,ZETA DIVISION,Bind,Defence,1,10,0.83,0,9,0.75,0.89,0.8,LW,WW,Win
03-04-2026,VXG,Bind,Attack,0,6,0.5,0,6,0.5,0.78,0.32,LW,LL,Draw
03-05-2026,MURASH,Pearl,Attack,1,10,0.83,1,6,0.5,0.92,0,WW,WW,Win
03-05-2026,DLT,Pearl,Defence,0,5,0.42,0,3,0.25,0.67,0.3,LL,LL,Loss
03-06-2026,DFM,Breeze,Attack,0,0,0,1,6,0.5,0,0.38,LL,WW,Loss
03-06-2026,VXG,Pearl,Attack,1,8,0.67,1,8,0.67,0.64,0.86,WW,WW,Win
03-06-2026,VXG,Breeze,Attack,0,9,0.75,1,7,0.58,0.9,0.29,LW,WW,Win
03-09-2026,Nova,Haven,Defence,1,6,0.5,0,8,0.67,0.57,0.4,LW,WW,Win
03-09-2026,SOLATI,Haven,Attack,1,6,0.5,1,8,0.67,0.57,0.3,WW,WW,Win
03-10-2026,UR,Haven,Attack,0,3,0.25,0,3,0.25,0.4,0.27,LL,LL,Loss
03-10-2026,Weibo,Haven,Attack,1,9,0.75,1,7,0.58,0.8,0.3,WW,WW,Win
03-11-2026,NiP,Haven,Defence,1,9,0.75,1,6,0.5,0.34,0.75,WW,WL,Win
03-11-2026,MURASH,Haven,Attack,0,6,0.5,0,7,0.58,0.6,0.29,LL,LL,Win
03-11-2026,ALG,Haven,Defence,0,8,0.67,1,9,0.75,0.73,0.5,WW,LL,Win
03-11-2026,Varrel,Haven,Defence,1,6,0.5,1,6,0.5,0.6,0.14,WW,WW,Draw
03-12-2026,REJECT,Haven,Attack,1,10,0.83,1,8,0.67,1,0.33,WW,WW,Win
03-12-2026,KBG,Haven,Attack,1,10,0.83,0,8,0.67,1,0.57,WW,LL,Win
03-12-2026,DetonatioN,Haven,Defence,1,7,0.58,1,7,0.58,0.77,0.29,WW,WW,Win
03-12-2026,RRQ,Bind,Attack,1,8,0.67,0,2,0.17,0.8,0.09,WW,LL,Loss
